"Position","Variable","Variable label"
"1","jkl_hidp","household identifier (public release)"
"2","j_hidp","household identifier (public release) at wave j_"
"3","k_hidp","household identifier (public release) at wave k_"
"4","l_hidp","household identifier (public release) at wave l_"
"5","jkl_wave","Source wave of record"
"6","jkl_intnum","Interviewer Number"
"7","jkl_hhorig","Sample origin, household"
"8","jkl_psu","Primary sampling unit"
"9","jkl_strata","Strata"
"10","jkl_month","sample month"
"11","jkl_quarter","sample quarter"
"12","jkl_ivfho","Household level outcome"
"13","jkl_hglieng","Interview conducted in English"
"14","jkl_hglitrans","Translated language"
"15","jkl_addrchck","Address check - asked"
"16","jkl_origadd","Interview being conducted at original address - computed"
"17","jkl_coreswho1","Person number 1"
"18","jkl_coreswho2","Person number 2"
"19","jkl_coreswho3","Person number 3"
"20","jkl_coreswho4","Person number 4"
"21","jkl_coreswho5","Person number 5"
"22","jkl_coreswho6","Person number 6"
"23","jkl_coreswho7","Person number 7"
"24","jkl_coreswho8","Person number 8"
"25","jkl_coreswho9","Person number 9"
"26","jkl_coreswho10","Person number 10"
"27","jkl_coreswho11","Person number 11"
"28","jkl_coreswho12","Person number 12"
"29","jkl_coreswho13","Person number 13"
"30","jkl_coreswho14","Person number 14"
"31","jkl_coreswho15","Person number 15"
"32","jkl_coreswho16","Person number 16"
"33","jkl_coreswho96","No longer live with any of these people"
"34","jkl_mores","More people resident"
"35","jkl_cordet1","ff_ttl ff_forname ff_surname, ff_sex, ff_birthd ff_birthm ff_birthy"
"36","jkl_cordet2","ff_ttl ff_forname ff_surname, ff_sex, ff_birthd ff_birthm ff_birthy"
"37","jkl_cordet3","ff_ttl ff_forname ff_surname, ff_sex, ff_birthd ff_birthm ff_birthy"
"38","jkl_cordet4","ff_ttl ff_forname ff_surname, ff_sex, ff_birthd ff_birthm ff_birthy"
"39","jkl_cordet5","ff_ttl ff_forname ff_surname, ff_sex, ff_birthd ff_birthm ff_birthy"
"40","jkl_cordet6","ff_ttl ff_forname ff_surname, ff_sex, ff_birthd ff_birthm ff_birthy"
"41","jkl_cordet7","ff_ttl ff_forname ff_surname, ff_sex, ff_birthd ff_birthm ff_birthy"
"42","jkl_cordet8","ff_ttl ff_forname ff_surname, ff_sex, ff_birthd ff_birthm ff_birthy"
"43","jkl_cordet9","ff_ttl ff_forname ff_surname, ff_sex, ff_birthd ff_birthm ff_birthy"
"44","jkl_cordet10","ff_ttl ff_forname ff_surname, ff_sex, ff_birthd ff_birthm ff_birthy"
"45","jkl_cordet11","ff_ttl ff_forname ff_surname, ff_sex, ff_birthd ff_birthm ff_birthy"
"46","jkl_cordet12","ff_ttl ff_forname ff_surname, ff_sex, ff_birthd ff_birthm ff_birthy"
"47","jkl_cordet13","ff_ttl ff_forname ff_surname, ff_sex, ff_birthd ff_birthm ff_birthy"
"48","jkl_cordet14","ff_ttl ff_forname ff_surname, ff_sex, ff_birthd ff_birthm ff_birthy"
"49","jkl_cordet15","ff_ttl ff_forname ff_surname, ff_sex, ff_birthd ff_birthm ff_birthy"
"50","jkl_cordet16","ff_ttl ff_forname ff_surname, ff_sex, ff_birthd ff_birthm ff_birthy"
"51","jkl_cordet17","Correct details check: PNO 17"
"52","jkl_cordet18","Correct details check: PNO 18"
"53","jkl_cordet19","Correct details check: PNO 19"
"54","jkl_cordet20","Correct details check: PNO 20"
"55","jkl_cordet21","Correct details check: PNO 21"
"56","jkl_cordet22","Correct details check: PNO 22"
"57","jkl_cordet23","Correct details check: PNO 23"
"58","jkl_cordet24","Correct details check: PNO 24"
"59","jkl_cordet25","Correct details check: PNO 25"
"60","jkl_cordet26","Correct details check: PNO 26"
"61","jkl_cordet27","Correct details check: PNO 27"
"62","jkl_cordet28","Correct details check: PNO 28"
"63","jkl_cordet29","Correct details check: PNO 29"
"64","jkl_cordet30","Correct details check: PNO 30"
"65","jkl_cordet31","Correct details check: PNO 31"
"66","jkl_cordet32","Correct details check: PNO 32"
"67","jkl_cordet96","None correct"
"68","jkl_hhlang","Anyone in HH need translated interview"
"69","jkl_hhqref1","Person number 1"
"70","jkl_hhqref2","Person number 2"
"71","jkl_hhqref3","Person number 3"
"72","jkl_hhqref4","Person number 4"
"73","jkl_hhqref5","Person number 5"
"74","jkl_hhqref6","Person number 6"
"75","jkl_hhqref7","Person number 7"
"76","jkl_hhqref8","Person number 8"
"77","jkl_hhqref9","Person number 9"
"78","jkl_hhqref10","Person number 10"
"79","jkl_hhqref11","Person number 11"
"80","jkl_hhqref12","Person number 12"
"81","jkl_hhqref13","Person number 13"
"82","jkl_hhqref14","Person number 14"
"83","jkl_hhqref15","Person number 15"
"84","jkl_hhqref16","Person number 16"
"85","jkl_hhqref17","Household Questionnaire Ref Person: PNO17"
"86","jkl_hhqref18","Household Questionnaire Ref Person: PNO18"
"87","jkl_hhqref19","Household Questionnaire Ref Person: PNO19"
"88","jkl_hhqref20","Household Questionnaire Ref Person: PNO20"
"89","jkl_hhqref21","Household Questionnaire Ref Person: PNO21"
"90","jkl_hhqref22","Household Questionnaire Ref Person: PNO22"
