"Position","Variable","Variable label"
"1","pidp","cross-wave person identifier (public release)"
"2","pid","personal identifier (BHPS cohort)"
"3","jkl_hidp","household identifier (public release)"
"4","j_hidp","household identifier (public release) at wave j_"
"5","k_hidp","household identifier (public release) at wave k_"
"6","l_hidp","household identifier (public release) at wave l_"
"7","jkl_pno","person number"
"8","jkl_wave","Source wave of record"
"9","jkl_childpno","pno of child"
"10","jkl_hhorig","Sample origin, household"
"11","jkl_memorig","Sample origin, individual"
"12","jkl_psu","Primary sampling unit"
"13","jkl_strata","Strata"
"14","jkl_sampst","sample status"
"15","jkl_month","sample month"
"16","jkl_quarter","sample quarter"
"17","jkl_ivfio","Individual level outcome"
"18","jkl_ioutcome","Individual outcome"
"19","jkl_sex","sex"
"20","jkl_dvage","Age"
"21","jkl_birthy","DOB year"
"22","jkl_chkrespweb1","All correct"
"23","jkl_chkrespweb2","No, name is wrong"
"24","jkl_chkrespweb3","No, date of birth is wrong"
"25","jkl_chkrespweb4","No, sex is wrong"
"26","jkl_chkwebdoby","Check Respondent year of birth web"
"27","jkl_chkwebsex","Check Respondent sex web"
"28","jkl_nchunder16","Number of children aged under 16 that resp is parent (biological mother, biolo"
"29","jkl_nch5to15","Number of children aged 5 to 15 that resp is parent (biological mother, biolog"
"30","jkl_nch10to15","Number of children aged 10 to 15 that resp is parent (biological mother, biolo"
"31","jkl_nch10","Number of children aged 10 that resp is parent (biological mother, biological"
"32","jkl_nunder16abs","Number of kids aged 0-15 with one and only one parent in HH"
"33","jkl_n1619abs","Number of kids aged 16-19 with one and only one parent in HH"
"34","jkl_nchresp","Number of children aged under 16 that resp is responsible for"
"35","jkl_nch14resp","Number of children aged under 15 that respondent is responsible for"
"36","jkl_nch415resp","Number of children aged 4 to 15 that respondent is responsible for"
"37","jkl_nch3resp","Number of children aged 3 that respondent is responsible for"
"38","jkl_nch5resp","Number of children aged 5 that respondent is responsible for"
"39","jkl_nch8resp","Number of children aged 8 that respondent is responsible for"
"40","jkl_respchild1","Person number 1"
"41","jkl_respchild2","Person number 2"
"42","jkl_respchild3","Person number 3"
"43","jkl_respchild4","Person number 4"
"44","jkl_respchild5","Person number 5"
"45","jkl_respchild6","Person number 6"
"46","jkl_respchild7","Person number 7"
"47","jkl_respchild8","Person number 8"
"48","jkl_respchild9","Person number 9"
"49","jkl_respchild10","Person number 10"
"50","jkl_respchild11","Person number 11"
"51","jkl_respchild12","Person number 12"
"52","jkl_respchild13","Person number 13"
"53","jkl_respchild14","Person number 14"
"54","jkl_respchild15","Person number 15"
"55","jkl_respchild16","Person number 16"
"56","jkl_nadoptch","Number of respondent's adoptive/step-children in the household"
"57","jkl_adoptchonly","Number of respondent's adoptive children in the household"
"58","jkl_nnatch","Number of respondent's biological children in the household"
"59","jkl_nstepch","Number of respondent's step children in the household"
"60","jkl_sibling","Has brothers or sisters living at home"
"61","jkl_pwcu18abs1","Person number 1"
"62","jkl_pwcu18abs2","Person number 2"
"63","jkl_pwcu18abs3","Person number 3"
"64","jkl_pwcu18abs4","Person number 4"
"65","jkl_pwcu18abs5","Person number 5"
"66","jkl_pwcu18abs6","Person number 6"
"67","jkl_pwcu18abs7","Person number 7"
"68","jkl_pwcu18abs8","Person number 8"
"69","jkl_pwcu18abs9","Person number 9"
"70","jkl_pwcu18abs10","Person number 10"
"71","jkl_pwcu18abs11","Person number 11"
"72","jkl_pwcu18abs12","Person number 12"
"73","jkl_pwcu18abs13","Person number 13"
"74","jkl_pwcu18abs14","Person number 14"
"75","jkl_pwcu18abs15","Person number 15"
"76","jkl_pwcu18abs16","Person number 16"
"77","jkl_istrtdathh","Individual interview start time (hours)"
"78","jkl_istrtdatmm","Individual interview start time (minutes)"
"79","jkl_istrtdatss","Individual interview start time (seconds)"
"80","jkl_istrtdaty","Interview start date (year)"
"81","jkl_istrtdatm","Interview start date (month)"
"82","jkl_istrtdatd","Interview start date (day)"
"83","jkl_lieng","Interview conducted in English"
"84","jkl_litrans","Translated language"
"85","jkl_liwho","Who translated"
"86","jkl_lihow","How translations applied"
"87","jkl_chkresp1","All correct"
"88","jkl_chkresp2","No, name is wrong"
"89","jkl_chkresp3","No, date of birth is wrong"
"90","jkl_chkresp4","No, sex is wrong"
"91","jkl_dcdoby","Correct DOB year"
"92","jkl_dcsex","Correct sex"
"93","jkl_pbirthy","Definitive DOB year variable in the person record"
"94","jkl_pdvage","Definitive age variable in the person record"
"95","jkl_mvever","Lived at address whole life"
"96","jkl_mvmnth","Month moved to current address"
"97","jkl_mvyr","Year of move"
"98","jkl_lkmove","Prefers to move house"
"99","jkl_xpmove","Expects to move in next year"
"100","jkl_xpmvwhn","Date of expected move known"
"101","jkl_xpmvmnth","Month of expected move"
"102","jkl_xpmvyr","Year of expected move"
"103","jkl_xpmvwhr","Location of expected move known"
"104","jkl_jbstat","Current economic activity"
"105","jkl_mlstatchk","Present legal marital status check"
"106","jkl_mlstat","Present legal marital status"
"107","jkl_caruse","Has use of car or van"
"108","jkl_drive","Respondent has driving licence"
"109","jkl_mobuse","Has mobile phone"
"110","jkl_smartmob","Has a smartphone"
"111","jkl_mobcomp","Has a mobile computing device"
"112","jkl_ukborn","Born in UK"
"113","jkl_plbornc","Country of birth"
"114","jkl_yr2uk4","Year came to Britain"
"115","jkl_citzn1","UK citizen uk citizen"
"116","jkl_citzn2","citizen of country of birth"
"117","jkl_citzn3","citizen of other country"
"118","jkl_higheduk","Highest qualification gained in UK"
"119","jkl_qfhighoth","Highest qualification gained outside UK"
"120","jkl_cntryqual","Country gained qualification"
"121","jkl_qfhigh","Highest qualification"
"122","jkl_highdegr","Which higher degree"
"123","jkl_alevel","How many A Levels or equivalent"
"124","jkl_higher","How many Highers or equivalent"
"125","jkl_nat5equiv","How many National 5/Credit Standard Grades/Intermediate 2 or equivalent"
"126","jkl_cse1","Number of CSE Grade 1"
"127","jkl_qfvocuk","Vocational qualifications gained in UK"
"128","jkl_qfvoc1","Youth training cert."
"129","jkl_qfvoc2","Key Skills"
"130","jkl_qfvoc3","Basic skills"
"131","jkl_qfvoc4","Entry lvl qual (Wales)"
"132","jkl_qfvoc5","Modern/trade apprentice"
"133","jkl_qfvoc6","RSA/OCR/Cleri/comm qual"
"134","jkl_qfvoc7","City and Guilds Cert"
"135","jkl_qfvoc8","GNVQ/GSVQ"
"136","jkl_qfvoc16","NVQ/SVQ"
"137","jkl_qfvoc11","HNC/HND"
"138","jkl_qfvoc12","ONC/OND"
"139","jkl_qfvoc13","BTEC/BEC/TEC/EdExcel/LQL"
"140","jkl_qfvoc14","SCOTVEC/SCOTEC/SCOTBEC"
"141","jkl_qfvoc15","Other voc/tech/prof qual"
"142","jkl_qfvoc96","None of the above"
"143","jkl_apprent1","Traditional apprenticeship"
"144","jkl_apprent2","Intermediate/Level 2/Foundation Modern"
"145","jkl_apprent3","Advanced/Level 3/Advanced Modern"
"146","jkl_apprent4","Higher/Level 4 or 5"
"147","jkl_rsaocr1","RSA certificate (including Stage I,II & III) / OCR Level 1"
"148","jkl_rsaocr2","Diploma / OCR Level 2"
"149","jkl_rsaocr3","Advanced diploma or advanced certificate / OCR Level 3"
"150","jkl_rsaocr4","Higher diploma / OCR Level 4"
"151","jkl_citygld1","Part 1 / Foundation"
"152","jkl_citygld2","Part 2 / Craft / Intermediate"
"153","jkl_citygld3","Part 3 / Advanced Craft / Final"
"154","jkl_citygld4","Part 4 / Career Extension / Full Technological Certificate"
"155","jkl_gnsvq1","Foundation"
"156","jkl_gnsvq2","Intermediate"
"157","jkl_gnsvq3","Advanced"
"158","jkl_nsvq1","Level 1"
"159","jkl_nsvq2","Level 2"
"160","jkl_nsvq3","Level 3"
"161","jkl_nsvq4","Level 4"
"162","jkl_nsvq5","Level 5"
"163","jkl_nsvq6","Other NVQ/SVQ qualification"
"164","jkl_btec1","First certificate or general certificate (below level 2)"
"165","jkl_btec2","First diploma or general diploma (level 2)"
"166","jkl_btec3","National Certificate or National Diploma level (level 3)"
"167","jkl_btec4","Higher level (level 4 or higher)"
"168","jkl_scotvec1","Modules towards a National Certificate"
"169","jkl_scotvec2","First certificate or general certificate (below level 2)"
"170","jkl_scotvec3","First diploma or general diploma (level 2)"
"171","jkl_scotvec4","Full National Certificate(level 3)"
"172","jkl_scotvec5","Higher level (level 4)"
"173","jkl_qfvocnonuk","Vocational qualifications gained outside UK"
"174","jkl_school_cawi","Age left school (web)"
"175","jkl_school","Never went to/still at school"
"176","jkl_scend","School leaving age"
"177","jkl_schlloc","Place of school"
"178","jkl_schok","School details correct"
"179","jkl_fenow_cawi","Age left further education (web)"
"180","jkl_fenow","Still in further education"
"181","jkl_feend","Further Education leaving age"
"182","jkl_j1none","Still in full-time education / never had a job"
"183","jkl_j1semp","Employee or self-employed: First job"
"184","jkl_j1boss","Hired employees: First job"
"185","jkl_j1mngr","Managerial duties: first job"
"186","jkl_edtype","Type of educational institution attending"
"187","jkl_edasp","Highest level exam like to get b/f leave school/college"
"188","jkl_lvschdo","Want to do after school/college"
"189","jkl_ahvwell","Importance of doing well in quals"
"190","jkl_hedlik","Likelihood of entering higher education"
"191","jkl_hednt","Reason might not go on to higher education"
"192","jkl_lvhm","Age you think when you leave home?"
"193","jkl_paju","Father not working when resp. aged 14"
"194","jkl_maju","Mother not working when resp. aged 14"
"195","jkl_pacob","Country father born in"
"196","jkl_payruk","Father ever lived in UK"
"197","jkl_macob","Country mother born in"
"198","jkl_mayruk","Mother ever lived in UK"
"199","jkl_natid1","English"
"200","jkl_natid2","Welsh"
"201","jkl_natid3","Scottish"
"202","jkl_natid4","Northern Irish"
"203","jkl_natid5","British"
"204","jkl_natid6","Irish"
"205","jkl_natid97","Other"
"206","jkl_racel","Ethnic group"
"207","jkl_racelo_code","Specific code for generic ethnic groups"
"208","jkl_racelt","Ethnic group TI"
"209","jkl_racelwt","White ethnic group TI"
"210","jkl_racelmt","Mixed ethnic group TI"
"211","jkl_racelat","Asian ethnic group TI"
"212","jkl_racelbt","Black ethnic group TI"
"213","jkl_racelot_code","Specific code for other ethnic groups"
"214","jkl_oprlg","Whether belong to a religion"
"215","jkl_oprlg0ni","Religion brought up in: NI"
"216","jkl_nirel","Religion: NI"
"217","jkl_niact","Religion active: NI"
"218","jkl_oprlg0","Religion brought up in: E/S/W"
"219","jkl_oprlg1","Religion: E/S/W"
"220","jkl_health","Long-standing illness or disability"
"221","jkl_disdif1","Mobility (moving around at home and walking)"
"222","jkl_disdif2","Lifting, carrying or moving objects"
"223","jkl_disdif3","Manual dexterity (using your hands to carry out everyday tasks)"
